Stock,Adj_Close_1,High_1,Low_1,Adj_Close_2,High_2,Low_2,VolChg2_1,IndexChg2_1,Adj_Close_3,High_3,Low_3,VolChg3_2,IndexChg3_2,Adj_Close_4,High_4,Low_4,VolChg4_3,IndexChg4_3,Adj_Close_5,High_5,Low_5,VolChg5_4,IndexChg5_4
XOM,76.029999,76.220001,74.089996,74.339996,75.540001,74.339996,-20.527644993034688,-103.29000000000087,75.690002,77.50,75.519997,-17.590762464231123,309.5400000000009,75.629997,77.190002,74.730003,-17.270477842133097,-82.45000000000073,74.629997,76.349998,73.790001,21.995416612706226,75.70000000000073
CVX,89.330002,89.589996,85.410004,86.440002,87.910004,86.089996,19.623460013849186,-103.29000000000087,89.300003,90.459999,87.610001,20.45271983896208,309.5400000000009,87.599998,90.139999,86.300003,16.903599453465507,-82.45000000000073,86.440002,88.00,84.25,-20.439794368222277,75.70000000000073
SLB,70.019997,70.529999,69.110001,69.82,71.480003,69.720001,-20.80978382647321,-103.29000000000087,71.480003,73.230003,71.400002,-21.064079609123368,309.5400000000009,72.120003,74.050003,71.419998,21.03563679578789,-82.45000000000073,71.50,72.989998,69.699997,-19.938907615332337,75.70000000000073
APC,47.59,49.59,47.349998,49.549999,50.23,48.709999,-20.896521622224974,-103.29000000000087,51.23,52.400002,49.889999,-20.482666175483285,309.5400000000009,50.830002,53.52,50.349998,17.96859930026914,-82.45000000000073,51.82,53.150002,51.220001,19.883007163555426,75.70000000000073
EOG,76.860001,77.029999,73.720001,74.889999,79.43,74.760002,-19.781807924490085,-103.29000000000087,78.18,80.150002,77.400002,16.476746203939467,309.5400000000009,78.379997,80.400002,76.879997,17.390370510913186,-82.45000000000073,77.110001,77.879997,73.93,16.93732783861286,75.70000000000073
OXY,66.650002,66.769997,64.889999,66.029999,67.459999,65.639999,-17.97477306788934,-103.29000000000087,68.419998,69.32,67.349998,-20.328714366716955,309.5400000000009,67.949997,69.220001,67.279999,-14.01889562112165,-82.45000000000073,67.300003,67.919998,65.93,21.362228519629316,75.70000000000073
COP,49.529999,50.139999,47.400002,48.130001,48.450001,46.810001,18.874477122904594,-103.29000000000087,49.220001,49.950001,48.009998,-21.761621025595737,309.5400000000009,48.470001,49.740002,47.75,-20.578744905131916,-82.45000000000073,48.299999,49.150002,46.880001,-19.58453683819882,75.70000000000073
VLO,67.550003,67.68,65.040001,67.510002,70.650002,67.32,-18.220340536571577,-103.29000000000087,71.379997,72.32,69.440002,-21.275260638503195,309.5400000000009,69.879997,71.089996,68.910004,13.385323176175872,-82.45000000000073,70.529999,71.580002,69.650002,18.35810170744085,75.70000000000073
PXD,141.110001,142.919998,138.169998,139.990005,143.240005,139.869995,-18.691320963093144,-103.29000000000087,145.389999,149.699997,141.470001,19.85923751049581,309.5400000000009,143.100006,146.710007,140.050003,-17.435833010673413,-82.45000000000073,140.350006,141.039993,132.169998,19.314291149677164,75.70000000000073
TSO,101.830002,102.029999,98.07,100.599998,105.370003,100.239998,18.3211353810869,-103.29000000000087,107.050003,108.669998,105.440002,-17.450405811760685,309.5400000000009,107.769997,112.489998,107.139999,-17.849038516003368,-82.45000000000073,112.269997,113.589996,108.50,-17.48305997787167,75.70000000000073
